[backend] INFO:     Started server process [2532]
[backend] [Config] LLM provider: deepseek
[backend] INFO:     Waiting for application startup.
    [pid=23516][err] [0709/164054.145:INFO:CONSOLE:495] "[vite] connecting...", source: http://localhost:3000/@vite/client (495)
    [pid=23516][err] [0709/164054.158:INFO:CONSOLE:618] "[vite] connected.", source: http://localhost:3000/@vite/client (618)
    [pid=23516][err] [0709/164054.257:INFO:CONSOLE:16] "08:40:54.257 [Main] === START ===", source: http://localhost:3000/src/utils/logger.ts (16)
    [pid=23516][err] [0709/164054.268:INFO:CONSOLE:16] "08:40:54.268 [Bootstrap] backend ready after 1 attempt(s)", source: http://localhost:3000/src/utils/logger.ts (16)
    [pid=23516][err] [0709/164054.268:INFO:CONSOLE:16] "08:40:54.269 [Bootstrap] loading world: /api/world/mock_world/state", source: http://localhost:3000/src/utils/logger.ts (16)
    [pid=23516][err] [0709/164054.282:INFO:CONSOLE:16] "08:40:54.283 [Bootstrap] world loaded: id=mock_world scenes=2", source: http://localhost:3000/src/utils/logger.ts (16)
    [pid=23516][err] [0709/164054.358:INFO:CONSOLE:8457] "%c %c %c %c %c Phaser v3.90.0 (WebGL | Web Audio) %c https://phaser.io/v390 background: #ff0000 background: #ffff00 background: #00ff00 background: #00ffff color: #ffffff; background: #000000 background: transparent", source: http://localhost:3000/node_modules/.vite/deps/phaser.js?v=8960cbe5 (8457)
    [pid=23516][err] [0709/164054.362:INFO:CONSOLE:16] "08:40:54.362 [Main] === READY, world_id=mock_world ===", source: http://localhost:3000/src/utils/logger.ts (16)
    [pid=23516][err] [0709/164054.400:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b3c001afc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
    [pid=23516][err] [0709/164054.451:INFO:CONSOLE:16] "08:40:54.451 [Boot] world has 2 scenes: village_elderwood, desert", source: http://localhost:3000/src/utils/logger.ts (16)
