[backend] INFO:     Started server process [8140]
INFO:     Waiting for application startup.
[backend] [Config] LLM provider: deepseek
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] tick_init.scene_setup_snapshot tick=1 0.1ms
[backend] 2026-07-09 16:43:20 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=cleric
[backend] 2026-07-09 16:43:20 | engine.decision.decision_engine | WARNING  | [engine] target chest_1 (scene_object) not in scene, downgrading to wait
[backend] 2026-07-09 16:43:20 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=fighter
[backend] 2026-07-09 16:43:20 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=rogue
[backend] 2026-07-09 16:43:20 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=wizard
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] pc.decide tick=1 1.2ms
[backend] 2026-07-09 16:43:20 | engine.interact.interact_engine | INFO     | [interact] fighter → door_cellar : success | 他仔细检查目标，在夹层中找到一卷泛黄的羊皮纸——上面用褪色的
[backend] 2026-07-09 16:43:20 | engine.talk.talk_engine  | INFO     | [engine] rogue ↔ guard : 4 turns
[backend] 2026-07-09 16:43:20 | engine.explore.explore_engine | INFO     | [engine] wizard explore start pos=(21,19) scene=village_elderwood
[backend] 2026-07-09 16:43:20 | engine.explore.explore_engine | INFO     | [engine] wizard explore: (21,19) → (8,15) | 酒馆后门的台阶上有一串湿脚印，通向小巷深处，泥里还嵌着一枚银
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] pc.act tick=1 10.5ms
[backend] 2026-07-09 16:43:20 | service.event_service    | INFO     | [service] flushed events tick=1 count=9
  x  3 [chromium] › tests\e2e\event-display.spec.ts:130:3 › event display › UC-14 events render in correct order (1.9s)
[e2e teardown] backend stopped


  1) [chromium] › tests\e2e\error-recovery.spec.ts:102:3 › error race & state recovery › UC-28 reset then re-run tick 

    Error: expect(locator).toContainText(expected) failed

    Locator: locator('#event-tick-badge')
    Expected substring: "Display_Tick=1"
    Received string:    "Display_Tick=0"
    Timeout: 5000ms

    Call log:
      - Expect "toContainText" with timeout 5000ms
      - waiting for locator('#event-tick-badge')
        14 × locator resolved to <span id="event-tick-badge" class="event-tick-badge">Display_Tick=0</span>
           - unexpected value "Display_Tick=0"


      114 |
      115 |     // L1 UI：tick 徽章回到 1 / Tick badge back to 1
    > 116 |     await expect(page.locator(SELECTORS.tickBadge)).toContainText("Display_Tick=1");
          |                                                     ^
      117 |
      118 |     // L2 API：有事件数据 / Events exist
      119 |     const eventsRes = await fetchBackendEvents(page, 0, 1);
        at E:\Projects\AIGameWorld\frontend\tests\e2e\error-recovery.spec.ts:116:53

    attachment #1: screenshot (image/png) ──────────────────────────────────────────────────────────
    test-results\error-recovery-error-race--cd66b-C-28-reset-then-re-run-tick-chromium\test-failed-1.png
    ────────────────────────────────────────────────────────────────────────────────────────────────

    Error Context: test-results\error-recovery-error-race--cd66b-C-28-reset-then-re-run-tick-chromium\error-context.md

  2) [chromium] › tests\e2e\error-recovery.spec.ts:242:3 › mock speed & event integrity › UC-34 PC position persists across ticks 

    Error: pcPositions empty

      249 |     await expect.poll(() => getTestSeamState(page).then(s => {
      250 |       const p = s!.pcPositions as Record<string, { tx: number; ty: number }>;
    > 251 |       if (Object.keys(p).length <= 0) throw new Error("pcPositions empty");
          |                                             ^
      252 |       pos1 = p;
      253 |       return Object.keys(p).length;
      254 |     }), { timeout: 30000 }).toBeGreaterThan(0);
        at E:\Projects\AIGameWorld\frontend\tests\e2e\error-recovery.spec.ts:251:45
        at E:\Projects\AIGameWorld\frontend\tests\e2e\error-recovery.spec.ts:249:5

    attachment #1: screenshot (image/png) ──────────────────────────────────────────────────────────
    test-results\error-recovery-mock-speed--7e13c-ition-persists-across-ticks-chromium\test-failed-1.png
    ────────────────────────────────────────────────────────────────────────────────────────────────

    Error Context: test-results\error-recovery-mock-speed--7e13c-ition-persists-across-ticks-chromium\error-context.md

  3) [chromium] › tests\e2e\event-display.spec.ts:130:3 › event display › UC-14 events render in correct order 

    Error: expect(received).toBeGreaterThanOrEqual(expected)

    Expected: >= 0
    Received:    -1

      142 |     const narrativeIdx = lines.findIndex((t) => t.includes("DM 叙事"));
      143 |     const actionIdx = lines.findIndex((t) => /角色对话|角色探索|角色互动|pc_combat/.test(t));
    > 144 |     expect(dmCreateIdx).toBeGreaterThanOrEqual(0);
          |                         ^
      145 |     if (sceneSetupIdx >= 0) {
      146 |       expect(sceneSetupIdx).toBeGreaterThan(dmCreateIdx);
      147 |       expect(decisionIdx).toBeGreaterThan(sceneSetupIdx);
        at E:\Projects\AIGameWorld\frontend\tests\e2e\event-display.spec.ts:144:25

    attachment #1: screenshot (image/png) ──────────────────────────────────────────────────────────
    test-results\event-display-event-displa-401d7-nts-render-in-correct-order-chromium\test-failed-1.png
    ────────────────────────────────────────────────────────────────────────────────────────────────

    Error Context: test-results\event-display-event-displa-401d7-nts-render-in-correct-order-chromium\error-context.md

  3 failed
    [chromium] › tests\e2e\error-recovery.spec.ts:102:3 › error race & state recovery › UC-28 reset then re-run tick 
    [chromium] › tests\e2e\error-recovery.spec.ts:242:3 › mock speed & event integrity › UC-34 PC position persists across ticks 
    [chromium] › tests\e2e\event-display.spec.ts:130:3 › event display › UC-14 events render in correct order 
